Date,GLD,SPY,TLT,^VIX
2005-01-03,43.02000045776367,81.38374328613281,44.396488189697266,14.079999923706055
2005-01-04,42.7400016784668,80.38926696777344,43.931217193603516,13.979999542236328
2005-01-05,42.66999816894531,79.83453369140625,44.16636276245117,14.09000015258789
2005-01-06,42.150001525878906,80.24042510986328,44.196346282958984,13.579999923706055
2005-01-07,41.84000015258789,80.12542724609375,44.29643249511719,13.489999771118164
2005-01-10,41.95000076293945,80.50424194335938,44.3664665222168,13.229999542236328
2005-01-11,42.209999084472656,79.94953918457031,44.62662887573242,13.1899995803833
2005-01-12,42.599998474121094,80.21336364746094,44.686683654785156,12.5600004196167
2005-01-13,42.599998474121094,79.5707015991211,45.11692428588867,12.84000015258789
2005-01-14,42.31999969482422,79.99014282226562,45.11191177368164,12.430000305175781
2005-01-18,42.31999969482422,80.82222747802734,45.26201248168945,12.470000267028809
2005-01-19,42.2599983215332,79.97657012939453,45.392066955566406,13.180000305175781
2005-01-20,42.25,79.48950958251953,45.48215103149414,13.829999923706055
2005-01-21,42.7400016784668,79.0024185180664,45.53215789794922,14.359999656677246
2005-01-24,42.77000045776367,78.84683227539062,45.727291107177734,14.649999618530273
2005-01-25,42.2400016784668,79.07006072998047,45.29701232910156,14.0600004196167
2005-01-26,42.689998626708984,79.30685424804688,45.3820686340332,13.4399995803833
2005-01-27,42.619998931884766,79.44214630126953,45.29701232910156,13.239999771118164
2005-01-28,42.689998626708984,79.44214630126953,45.752296447753906,13.239999771118164
2005-01-31,42.220001220703125,79.93599700927734,45.88238525390625,12.819999694824219
2005-02-01,42.099998474121094,80.44336700439453,45.80954360961914,12.029999732971191
2005-02-02,42.15999984741211,80.68692016601562,45.91501998901367,11.65999984741211
2005-02-03,41.68000030517578,80.4771957397461,45.889888763427734,11.789999961853027
2005-02-04,41.470001220703125,81.33638000488281,46.527671813964844,11.210000038146973
2005-02-07,41.27000045776367,81.22814178466797,46.874168395996094,11.729999542236328
2005-02-08,41.2599983215332,81.32280731201172,47.1403694152832,11.600000381469727
2005-02-09,41.310001373291016,80.71400451660156,47.26586151123047,12.0
2005-02-10,41.75,81.0049057006836,46.62812042236328,11.510000228881836
2005-02-11,42.08000183105469,81.7016830444336,46.59796905517578,11.430000305175781
2005-02-14,42.54999923706055,81.64079284667969,46.743614196777344,11.520000457763672
2005-02-15,42.58000183105469,81.94525146484375,46.507606506347656,11.270000457763672
2005-02-16,42.52000045776367,81.99934387207031,46.331851959228516,11.100000381469727
2005-02-17,42.72999954223633,81.33638000488281,46.04057693481445,11.770000457763672
2005-02-18,42.75,81.44459533691406,45.628753662109375,11.180000305175781
2005-02-22,43.56999969482422,80.23367309570312,45.42786407470703,13.140000343322754
2005-02-23,43.41999816894531,80.80870819091797,45.57855224609375,12.390000343322754
2005-02-24,43.33000183105469,81.34315490722656,45.47809600830078,11.569999694824219
2005-02-25,43.5,82.1481704711914,45.699092864990234,11.489999771118164
2005-02-28,43.529998779296875,81.6069564819336,45.20694351196289,12.079999923706055
2005-03-01,43.220001220703125,82.01287841796875,45.19279861450195,12.039999961853027
2005-03-02,43.25,81.97229766845703,45.132347106933594,12.5
2005-03-03,42.970001220703125,82.00611114501953,45.1071891784668,12.930000305175781
2005-03-04,43.380001068115234,83.02764129638672,45.59581756591797,11.9399995803833
2005-03-07,43.470001220703125,83.06822967529297,45.777198791503906,12.260000228881836
2005-03-08,44.029998779296875,82.75699615478516,45.343990325927734,12.399999618530273
2005-03-09,44.02000045776367,81.83698272705078,44.60345458984375,12.699999809265137
2005-03-10,44.20000076293945,82.01964569091797,44.875431060791016,12.489999771118164
2005-03-11,44.43000030517578,81.44459533691406,44.54804229736328,12.800000190734863
2005-03-14,44.029998779296875,81.9520034790039,44.814945220947266,12.390000343322754
2005-03-15,44.060001373291016,81.2754898071289,44.53288269042969,13.149999618530273
2005-03-16,44.310001373291016,80.58545684814453,44.80491638183594,13.489999771118164
2005-03-17,43.81999969482422,80.74781036376953,44.95102310180664,13.289999961853027
2005-03-18,43.88999938964844,80.50804901123047,44.668922424316406,13.140000343322754
2005-03-21,43.09000015258789,80.20924377441406,44.54296112060547,13.609999656677246
2005-03-22,42.650001525878906,79.39424133300781,44.16516876220703,14.270000457763672
2005-03-23,42.41999816894531,79.46216583251953,44.37670135498047,14.0600004196167
2005-03-24,42.38999938964844,79.5572280883789,44.4674072265625,13.420000076293945
2005-03-28,42.540000915527344,79.6727066040039,44.19536590576172,13.75
2005-03-29,42.560001373291016,79.1429672241211,44.457313537597656,14.489999771118164
2005-03-30,42.61000061035156,80.26358032226562,44.67902374267578,13.640000343322754
2005-03-31,42.81999969482422,80.11415100097656,45.00139236450195,14.020000457763672
2005-04-01,42.619998931884766,79.75419616699219,45.153079986572266,14.09000015258789
2005-04-04,42.400001525878906,79.89004516601562,45.142974853515625,14.109999656677246
2005-04-05,42.45000076293945,80.2703628540039,45.02666473388672,13.680000305175781
2005-04-06,42.630001068115234,80.548828125,45.18341827392578,13.149999618530273
2005-04-07,42.56999969482422,80.98348236083984,44.81937026977539,12.329999923706055
2005-04-08,42.689998626708984,80.14129638671875,44.976139068603516,12.619999885559082
2005-04-11,42.779998779296875,80.20242309570312,45.21883773803711,11.979999542236328
2005-04-12,42.84000015258789,80.6167221069336,45.638484954833984,11.300000190734863
2005-04-13,42.900001525878906,79.66588592529297,45.527252197265625,13.3100004196167
2005-04-14,42.310001373291016,78.62675476074219,45.456459045410156,14.529999732971191
2005-04-15,42.400001525878906,77.52653503417969,46.05820083618164,17.739999771118164
2005-04-18,42.689998626708984,77.7642593383789,46.02276611328125,16.559999465942383
2005-04-19,43.279998779296875,78.38231658935547,46.46774673461914,14.960000038146973
2005-04-20,43.400001525878906,77.288818359375,46.35143280029297,16.920000076293945
2005-04-21,43.189998626708984,78.7897720336914,45.86604690551758,14.40999984741211
2005-04-22,43.38999938964844,78.49093627929688,46.25032043457031,15.380000114440918
2005-04-25,43.439998626708984,79.0071029663086,46.3868293762207,14.619999885559082
2005-04-26,43.63999938964844,78.2396469116211,46.316062927246094,14.90999984741211
2005-04-27,43.20000076293945,78.5452651977539,46.47785949707031,14.869999885559082
2005-04-28,43.0,77.56050872802734,46.82166290283203,16.860000610351562
2005-04-29,43.349998474121094,78.61322021484375,46.740745544433594,15.3100004196167
2005-05-02,42.880001068115234,79.05464935302734,46.7305908203125,15.119999885559082
2005-05-03,42.7599983215332,79.19049072265625,46.85749435424805,14.529999732971191
2005-05-04,42.900001525878906,79.8017578125,46.44646072387695,13.850000381469727
2005-05-05,42.90999984741211,79.77455139160156,46.55302047729492,13.979999542236328
2005-05-06,42.52000045776367,79.52328491210938,46.20796585083008,14.050000190734863
2005-05-09,42.54999923706055,80.01905059814453,46.253658294677734,13.75
2005-05-10,42.63999938964844,79.19049072265625,46.58346176147461,14.90999984741211
2005-05-11,42.689998626708984,79.6251449584961,46.72557067871094,14.449999809265137
2005-05-12,42.15999984741211,78.74903106689453,46.90821075439453,16.1200008392334
2005-05-13,41.95000076293945,78.59281158447266,47.09095001220703,16.31999969482422
2005-05-16,41.880001068115234,79.32632446289062,47.03508758544922,15.680000305175781
2005-05-17,41.86000061035156,79.85607147216797,47.167030334472656,14.569999694824219
2005-05-18,42.04999923706055,80.67787170410156,47.481689453125,13.630000114440918
2005-05-19,41.97999954223633,81.01747131347656,47.35985565185547,13.319999694824219
